Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
SPRECKELS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,5,47,–,62,–,11,–,5,29,–,52,–,10,–,3,36,–,59,–,6,–,9,17,–,47,–,9,1,7,29,1,59,–,8,1,5,40,–,43,–,9
SPRINGVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,1,10,–,28,–,1,2,1,6,–,35,–,–,1,1,6,–,16,–,–,1,1,11,–,16,–,–,–,–,8,–,38,–,–,1,1,6,–,19,–,–
STANDARD ELEMENTARY,California,†,†,†,†,†,†,†,6,4,114,4,272,–,11,2,5,99,4,240,–,9,4,6,84,6,222,–,10,7,3,107,2,229,–,7,4,6,93,4,224,–,8,1,2,130,1,207,–,11
STANISLAUS COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,2,35,7,47,1,8,1,4,52,2,55,–,6,1,4,54,1,58,–,4,–,4,58,9,49,1,8,2,2,57,2,60,–,5,–,6,64,5,60,1,10
STANISLAUS UNION ELEMENTARY,California,†,†,†,†,†,†,†,8,40,258,23,77,7,83,2,26,203,20,74,6,36,4,50,180,24,78,4,22,2,52,190,22,86,2,29,4,41,188,25,73,3,24,3,45,217,30,78,2,27
STOCKTON UNIFIED,California,†,†,†,†,†,†,†,35,448,2661,451,220,18,168,34,398,2243,372,195,14,159,24,371,2156,348,187,19,134,40,372,2238,358,186,11,118,61,385,2270,341,201,14,125,71,444,2370,344,225,19,93
STONE CORRAL ELEMENTARY,California,†,†,†,†,†,†,†,–,–,25,–,–,–,2,–,–,15,–,–,–,1,–,–,12,–,–,–,–,–,–,15,–,–,–,–,–,–,17,–,–,–,–,–,–,19,–,–,–,–
STONY CREEK JOINT UNIFIED,California,†,†,†,†,†,†,†,3,–,2,–,6,–,2,2,–,1,–,7,–,–,1,–,–,–,3,–,1,4,–,–,–,–,–,–,3,–,–,–,2,–,1,4,–,–,–,7,–,–
STRATHMORE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,–,81,–,12,–,–,1,–,73,–,7,1,–,1,–,82,–,6,–,–,–,–,85,–,11,–,–,4,–,65,–,6,1,1,7,–,70,–,3,–,–
SULPHUR SPRINGS UNION,California,†,†,†,†,†,†,†,5,74,496,33,225,–,38,3,76,390,36,193,–,27,1,74,399,49,152,–,29,–,63,401,48,220,1,22,–,75,399,39,211,2,29,3,74,415,35,189,3,43
SUMMERVILLE ELEMENTARY,California,†,†,†,†,†,†,†,3,–,9,–,32,–,5,4,–,4,–,31,–,9,1,–,12,–,27,–,4,6,–,11,–,34,–,3,3,–,9,1,22,–,4,8,–,6,1,24,–,3
SUMMERVILLE UNION HIGH,California,†,†,†,†,†,†,†,–,–,7,–,22,–,–,–,–,5,–,20,–,2,–,–,3,–,22,–,–,–,–,5,–,23,–,2,2,–,6,–,21,–,–,–,–,3,2,27,–,–
SUNDALE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,2,51,–,59,–,–,1,–,45,–,46,–,–,–,–,36,1,52,–,–,1,1,42,–,52,–,–,–,–,47,1,32,–,–,–,1,46,–,45,–,1
SUNNYSIDE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,44,–,2,–,–,–,1,30,–,4,–,–,–,–,31,–,3,–,–,–,–,31,–,6,–,–,–,–,40,–,5,–,–,–,–,34,–,4,–,–
SUNNYVALE,California,†,†,†,†,†,†,†,23,305,180,6,183,3,207,15,253,213,7,158,5,74,34,254,152,9,186,6,79,25,267,216,8,156,10,88,20,216,208,12,170,8,79,8,229,277,11,172,9,62
SUNOL GLEN UNIFIED,California,†,†,†,†,†,†,†,–,13,4,1,14,1,–,1,5,6,1,19,1,4,–,9,5,–,15,–,7,–,6,4,–,15,–,4,–,2,10,–,17,–,5,–,8,8,1,9,1,6
SURPRISE VALLEY JOINT UNIFIED,California,†,†,†,†,†,†,†,1,–,1,–,7,–,–,3,–,2,–,6,–,–,–,–,1,–,9,–,1,2,–,2,–,8,–,–,1,–,3,–,4,–,–,3,1,4,–,8,–,–
SUSANVILLE ELEMENTARY,California,†,†,†,†,†,†,†,11,3,40,2,88,7,8,4,4,29,3,75,7,10,6,2,31,2,82,6,5,3,4,35,–,71,5,18,3,1,28,2,66,5,12,3,1,32,1,57,4,7
SUTTER COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,5,17,–,10,–,2,–,11,8,2,11,–,–,–,1,9,–,8,–,1,–,1,6,–,12,–,–,1,–,9,–,8,–,1,–,1,7,–,14,–,1
SUTTER UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
SWEETWATER UNION HIGH,California,†,†,†,†,†,†,†,–,4,155,2,7,–,–,–,1,135,1,7,–,3,–,1,131,2,5,–,4,–,1,127,1,6,–,2,–,1,90,2,3,–,2,–,1,70,1,2,–,1
SYLVAN UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,92,405,34,331,10,118,3,71,364,37,312,12,74,2,56,363,35,327,9,80,3,66,373,36,334,10,50,3,78,352,30,354,10,70,5,94,392,43,319,12,58
TAFT CITY,California,†,†,†,†,†,†,†,3,–,155,4,105,2,29,–,2,131,–,118,–,3,–,2,146,1,87,–,7,1,3,138,1,99,–,3,1,3,133,3,93,2,4,1,2,150,1,90,–,6
TAFT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TAHOE-TRUCKEE UNIFIED,California,†,†,†,†,†,†,†,–,7,138,–,227,–,10,1,3,94,1,186,–,7,1,1,133,2,190,–,6,1,2,137,–,217,–,6,3,2,119,–,208,–,7,–,2,125,1,202,–,6
TAMALPAIS UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TEHACHAPI UNIFIED,California,†,†,†,†,†,†,†,4,5,129,4,239,1,2,3,3,107,1,207,–,13,1,1,105,2,182,–,5,4,5,116,5,189,1,9,2,6,94,7,240,–,8,4,2,126,5,212,–,7
TEHAMA COUNTY DEPARTMENT OF EDUCATION,California,†,†,†,†,†,†,†,–,–,3,–,7,–,–,–,–,2,1,8,–,–,–,–,2,–,8,–,2,–,–,2,–,12,–,2,–,–,2,–,6,–,1,–,–,3,–,7,–,–
TEHAMA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TEMECULA VALLEY UNIFIED,California,†,†,†,†,†,†,†,8,169,749,60,1022,12,225,11,152,666,55,859,6,190,19,144,685,53,913,2,195,13,166,730,76,891,5,218,19,185,785,71,999,6,254,13,187,764,75,1016,3,257
TEMPLE CITY UNIFIED,California,†,†,†,†,†,†,†,–,197,86,2,33,–,21,1,254,93,1,34,–,13,–,241,93,2,29,2,17,–,255,92,2,35,–,10,1,283,81,4,36,1,14,1,295,85,3,32,–,17
TEMPLETON UNIFIED,California,†,†,†,†,†,†,†,–,5,44,–,116,1,17,–,1,30,–,107,–,13,2,4,36,–,97,–,8,3,4,45,–,132,–,8,1,2,43,3,143,1,4,1,4,45,–,111,–,6
TERRA BELLA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,119,–,3,–,–,–,2,88,1,3,–,–,–,2,106,–,–,–,1,–,1,98,–,5,–,–,1,3,87,–,4,–,–,–,–,98,–,3,–,–
THERMALITO UNION ELEMENTARY,California,†,†,†,†,†,†,†,8,60,16,2,95,1,18,12,47,29,3,70,1,19,7,37,27,3,77,–,18,4,48,20,5,64,2,10,4,48,27,2,65,–,22,6,46,23,4,81,1,17
THREE RIVERS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,3,–,7,–,2,–,–,5,–,7,–,4,1,–,4,–,9,–,1,–,1,1,–,9,–,1,–,1,2,–,16,–,–,–,1,4,–,13,–,3
TIPTON ELEMENTARY,California,†,†,†,†,†,†,†,–,–,74,–,–,–,9,–,1,52,1,–,–,4,–,1,70,–,1,–,4,–,1,54,–,–,–,–,–,1,40,–,1,–,4,–,2,64,2,2,–,4
TORRANCE UNIFIED,California,†,†,†,†,†,†,†,3,683,511,52,415,11,189,2,569,457,48,340,7,151,3,564,432,52,332,8,140,1,601,478,55,361,9,161,4,587,477,58,348,9,161,3,581,450,41,369,8,167
TRACY JOINT UNIFIED,California,†,†,†,†,†,†,†,1,174,606,56,228,12,48,3,145,554,57,195,10,46,2,143,575,52,180,8,41,2,172,571,45,232,10,44,5,171,615,66,215,14,45,2,196,623,75,234,7,46
TRAVER JOINT ELEMENTARY,California,†,†,†,†,†,†,†,–,–,29,–,–,–,–,–,–,16,–,–,–,1,–,1,27,–,1,–,–,–,1,13,–,1,–,–,–,1,25,–,1,–,–,–,–,28,–,1,–,–
TRAVIS UNIFIED,California,†,†,†,†,†,†,†,1,48,110,35,192,2,64,1,52,97,38,154,7,48,5,48,84,33,170,6,52,–,51,75,31,148,6,48,3,53,101,46,177,9,48,1,52,93,35,168,3,51
TRES PINOS UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,10,–,–,–,–,3,–,5,–,–,–,–,6,–,6,–,–,–,–,1,–,6,–,–,–,–,3,–,10,–,1,–,–,6,–,13,–,–
TRI-CITIES ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-CITIES ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRI-VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TRINIDAD UNION ELEMENTARY,California,†,†,†,†,†,†,†,3,1,4,–,24,–,4,3,–,2,–,13,–,2,2,–,2,–,11,–,1,–,–,1,–,14,–,3,1,–,3,–,17,–,2,2,–,1,–,13,–,1
TRINITY ALPS UNIFIED,California,†,†,†,†,†,†,†,2,–,9,–,39,–,5,–,–,3,–,26,–,3,5,–,3,–,24,–,2,3,–,3,–,22,–,1,1,–,7,–,26,–,1,3,–,6,1,32,–,5
TRINITY CENTER ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,2,–,–,–,–,–,–,3,–,–,–,–,–,–,3,–,–,–,–,1,–,–,–,–,0,0,0,0,0,0,0,–,–,–,–,2,–,–
TRINITY COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0,–,–,–,–,1,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0
TRONA JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
TULARE CITY,California,†,†,†,†,†,†,†,4,32,963,41,207,3,22,6,24,836,23,145,–,10,2,14,719,28,156,–,11,3,25,825,32,144,1,12,3,16,805,30,151,3,11,3,22,855,25,185,1,4
TULARE COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,1,66,1,58,–,8,2,1,61,1,59,–,8,–,3,73,1,71,–,8,1,3,75,3,60,–,5,–,4,119,1,77,–,6,3,6,99,–,70,1,6
TULARE JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
TULELAKE BASIN JOINT UNIFIED,California,†,†,†,†,†,†,†,–,–,46,–,8,–,–,–,–,16,–,2,–,1,–,–,23,–,4,–,–,1,–,32,1,10,–,2,–,–,19,–,2,–,1,–,–,32,–,2,–,1
TUOLUMNE COUNTY SUPERINTENDENT OF SCHOOLS,California,†,†,†,†,†,†,†,–,1,3,–,20,–,2,–,1,6,–,13,–,1,–,–,4,–,13,–,2,1,–,1,1,11,–,1,–,2,4,–,15,–,1,–,–,3,–,19,–,1
TURLOCK UNIFIED,California,†,†,†,†,†,†,†,5,66,640,17,349,9,38,4,53,576,14,288,3,20,6,40,570,22,315,6,13,3,51,580,26,331,9,16,9,50,618,30,305,2,25,6,57,644,22,291,7,22
TUSTIN UNIFIED,California,†,†,†,†,†,†,†,1,339,857,26,386,7,120,1,322,753,29,403,5,89,–,353,765,28,363,5,75,1,379,829,30,409,5,66,–,388,811,45,440,5,62,4,390,890,42,487,2,67
TWAIN HARTE,California,†,†,†,†,†,†,†,–,–,4,–,18,1,2,–,–,1,–,21,–,1,1,–,7,–,18,–,1,–,–,4,–,24,–,–,–,–,5,–,21,–,–,1,–,10,–,27,1,1
TWIN HILLS UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,2,16,1,99,–,20,1,2,16,–,72,–,10,–,2,27,1,66,–,17,–,1,18,–,82,–,15,1,–,23,–,74,–,12,1,2,18,1,81,1,13
TWIN RIDGES ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,7,–,2,–,–,2,–,8,–,3,–,–,3,–,6,–,3,–,–,–,–,9,–,3,–,–,1,–,6,–,1,–,–,3,–,8,–,1
TWIN RIVERS UNIFIED,California,†,†,†,†,†,†,†,31,251,1198,369,744,34,199,16,342,1358,358,1003,33,185,19,194,979,314,683,28,156,14,187,995,326,673,28,174,18,193,988,354,723,33,149,23,229,1075,315,692,42,157
TWO ROCK UNION,California,†,†,†,†,†,†,†,–,–,17,–,19,–,2,–,–,17,–,6,–,2,–,–,7,–,10,1,1,–,–,10,–,14,1,–,–,–,5,–,13,–,3,–,1,8,–,6,1,3
UKIAH UNIFIED,California,†,†,†,†,†,†,†,22,10,350,3,221,–,24,25,7,260,2,173,1,22,19,2,273,3,188,–,18,29,7,231,3,194,1,16,29,3,238,5,192,–,18,36,6,252,5,165,–,13
UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,177,127,5,259,–,64,1,155,83,9,282,1,56,3,161,73,8,288,1,72,2,177,101,8,283,–,65,–,175,115,3,326,1,86,3,157,98,16,312,3,61
UNION HILL ELEMENTARY,California,†,†,†,†,†,†,†,1,–,10,–,92,–,15,1,–,10,–,60,–,6,–,1,4,1,57,–,8,1,2,5,–,77,2,1,–,2,8,–,56,–,3,2,–,5,–,57,–,3
UNION JOINT ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,–,–,–,1,–,1,–,–,–,–,–,–,1,–,–,–,–,1,–,2,–,–,–,–,–,–,2,–,–,–,–,–,–,1,–,–
UPLAND UNIFIED,California,†,†,†,†,†,†,†,2,68,482,61,263,1,47,2,55,436,56,201,2,21,2,43,418,57,208,2,20,3,53,466,64,199,–,31,5,50,457,57,216,3,22,5,47,506,68,223,1,22
UPPER LAKE UNIFIED,CALIFORNIA,†,†,†,†,†,†,†,8,1,23,–,42,–,1,2,–,15,–,30,–,1,6,1,17,–,35,–,4,2,2,23,–,29,–,2,8,–,19,–,38,–,–,7,1,14,–,23,–,1
UPPER LAKE UNION ELEMENTARY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
UPPER LAKE UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VACAVILLE UNIFIED,California,†,†,†,†,†,†,†,1,38,413,49,395,12,118,5,50,335,38,383,1,99,6,51,344,42,353,7,101,4,32,379,43,372,8,98,4,55,393,48,367,7,104,4,53,388,60,399,4,84
VAL VERDE UNIFIED,California,†,†,†,†,†,†,†,11,32,1197,213,84,8,44,8,47,1042,168,87,4,38,9,32,1063,184,66,6,28,3,38,1040,188,84,6,51,2,42,1178,189,75,7,31,4,36,1283,196,97,3,35
VALLE LINDO ELEMENTARY,California,†,†,†,†,†,†,†,–,9,109,–,3,–,–,–,4,111,–,1,–,–,–,7,110,–,–,–,–,–,7,121,–,1,–,–,–,8,133,–,–,–,–,–,4,129,–,1,–,1
VALLECITO UNION,California,†,†,†,†,†,†,†,1,1,14,–,48,–,13,1,–,10,–,38,–,4,2,–,10,–,46,–,5,2,1,15,–,50,–,1,–,1,6,–,48,–,1,–,3,10,–,52,1,2
VALLECITOS ELEMENTARY,California,†,†,†,†,†,†,†,–,–,28,–,2,–,–,–,–,25,–,–,–,1,–,–,21,–,3,–,–,–,–,19,–,3,–,1,–,–,13,–,5,1,–,–,–,27,–,1,–,–
VALLEJO CITY UNIFIED,California,†,†,†,†,†,†,†,9,206,580,371,109,28,110,5,178,505,345,92,27,65,5,179,444,317,98,36,82,6,171,484,348,81,28,66,2,178,524,343,104,17,45,6,203,497,352,101,13,43
VALLEY CENTER-PAUMA UNIFIED,California,†,†,†,†,†,†,†,26,3,176,1,98,1,18,23,5,155,1,78,–,17,22,6,138,–,82,–,18,25,2,170,2,98,1,20,28,5,184,3,98,–,19,25,2,185,4,100,1,8
VALLEY HOME JOINT ELEMENTARY,California,†,†,†,†,†,†,†,–,–,6,–,13,–,–,–,1,10,–,7,–,2,–,–,12,1,9,–,2,–,–,8,–,14,–,1,–,–,8,–,12,–,–,–,–,7,–,11,–,–
VALLEY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VALLEY ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,11,63,2,141,–,14,1,16,58,2,116,1,24,–,10,48,3,141,–,14,3,10,55,1,133,–,12,–,6,69,5,140,1,18,1,15,56,2,121,1,10
VENTURA COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA COUNTY SCHOOLS BUSINESS SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VENTURA UNIFIED,California,†,†,†,†,†,†,†,3,41,706,12,466,1,50,3,42,664,8,401,2,64,4,33,668,10,449,–,55,2,30,690,17,434,1,45,1,49,675,16,463,1,66,4,45,712,15,489,1,55
VICTOR ELEMENTARY,California,†,†,†,†,†,†,†,23,45,1231,417,322,14,41,26,43,1034,352,258,17,37,21,44,1049,345,266,7,34,25,37,1017,307,263,11,44,14,56,1124,361,235,5,50,21,49,1059,368,300,7,31
VICTOR VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
VINELAND ELEMENTARY,California,†,†,†,†,†,†,†,–,–,83,–,2,–,–,–,–,82,–,–,–,2,–,1,82,–,–,–,1,–,–,73,–,1,–,1,–,–,94,–,2,–,1,–,–,70,–,1,–,–
VISALIA UNIFIED,California,†,†,†,†,†,†,†,9,105,1791,34,487,4,123,7,96,1546,28,401,1,99,8,103,1506,28,407,3,96,7,116,1546,31,372,3,104,14,109,1569,39,432,3,100,17,98,1565,33,435,6,95
VISTA DEL MAR UNION,California,†,†,†,†,†,†,†,–,–,3,–,4,–,2,–,–,2,–,3,–,7,1,1,3,–,1,–,2,–,–,4,–,5,–,4,2,1,7,–,2,–,3,–,–,4,–,1,–,3
VISTA UNIFIED,California,†,†,†,†,†,†,†,7,57,1395,38,517,15,130,5,42,1162,29,407,17,90,8,43,1129,17,396,18,63,1,76,1145,33,389,12,71,6,61,1232,30,419,9,83,4,59,1170,43,388,16,79
WALNUT CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,76,52,11,246,1,46,1,64,56,6,208,–,31,–,67,46,9,204,2,35,–,67,49,10,230,1,34,3,79,58,5,223,–,35,–,58,55,16,222,–,36
WALNUT VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,525,234,6,63,–,55,–,516,192,9,45,4,51,1,534,184,15,55,5,47,2,529,221,14,61,9,42,2,614,239,12,58,16,42,–,573,265,22,83,12,42
WARNER UNIFIED,California,†,†,†,†,†,†,†,28,18,52,4,101,–,31,7,11,35,1,61,–,20,8,9,34,5,73,–,23,6,13,40,3,74,–,16,7,11,37,5,82,–,18,2,13,35,2,86,–,15
WASCO UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,1,452,5,12,–,5,–,2,383,11,21,2,1,–,2,332,7,15,–,–,1,3,359,7,15,–,2,–,6,377,6,12,1,–,1,–,404,4,17,–,–
WASCO UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WASHINGTON COLONY ELEMENTARY,California,†,†,†,†,†,†,†,–,1,51,–,6,–,1,–,–,45,–,5,–,–,–,1,38,1,2,–,1,–,2,54,1,3,–,–,–,–,39,–,5,–,1,–,2,39,–,5,–,–
WASHINGTON UNIFIED,California,†,†,†,†,†,†,†,1,101,314,30,235,6,41,3,101,290,35,204,7,33,4,94,252,37,179,10,44,2,94,303,34,209,7,26,5,88,289,31,184,13,28,4,86,314,25,207,2,25
WASHINGTON UNIFIED,California,†,†,†,†,†,†,†,–,19,154,19,12,–,3,–,15,146,8,9,–,4,1,8,124,12,14,–,3,1,15,144,21,6,–,4,–,16,164,19,15,–,2,–,16,118,18,9,–,3
WASHINGTON UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,11,28,–,71,1,5,–,4,22,–,52,–,2,–,4,25,–,56,–,7,–,10,25,–,60,–,8,–,10,19,–,68,–,4,–,9,17,–,50,–,11
WATERFORD UNIFIED,California,†,†,†,†,†,†,†,–,10,148,7,129,–,15,2,15,111,4,131,–,29,3,14,151,11,117,1,25,2,11,110,3,120,–,29,3,17,136,8,107,1,30,5,16,115,12,137,1,18
WAUGH ELEMENTARY,California,†,†,†,†,†,†,†,1,10,27,3,92,–,12,–,7,29,2,81,–,15,–,6,32,2,75,1,15,1,11,26,2,57,–,19,–,7,28,3,79,–,6,–,14,32,1,59,–,15
WAUKENA JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,27,–,5,–,–,–,–,22,–,–,–,–,–,–,21,–,3,–,–,–,–,27,–,3,–,–,–,–,25,–,3,–,–,–,–,19,–,4,–,–
WEAVER UNION,California,†,†,†,†,†,†,†,2,67,261,11,38,–,10,3,43,190,6,43,2,8,2,47,239,13,24,1,9,–,47,211,18,30,–,9,3,46,209,14,29,–,9,1,45,211,20,28,2,2
WEED UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,2,8,2,11,–,6,–,2,4,3,16,–,3,2,–,9,1,13,–,4,–,–,5,4,12,–,4,–,1,9,3,15,–,1,–,3,6,1,16,–,6
WEST CONTRA COSTA UNIFIED,California,†,†,†,†,†,†,†,7,410,1564,397,276,13,198,7,322,1367,390,267,19,116,5,326,1360,370,291,14,100,8,320,1388,387,272,28,83,6,360,1485,395,258,25,78,3,351,1287,450,276,8,36
WEST COUNTY TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST COVINA UNIFIED,California,†,†,†,†,†,†,†,–,142,714,48,62,3,15,3,110,581,41,61,3,10,2,100,602,44,54,2,15,–,136,592,39,60,1,18,1,108,639,48,66,6,25,2,124,690,64,97,1,21
